="Notes"	"Year"	"Year Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"Gender"	"Gender Code"	Deaths	Population	Crude Rate
	"1999"	"1999"	"15-24 years"	"15-24"	"Female"	"F"	20	18860184	0.1060
	"1999"	"1999"	"15-24 years"	"15-24"	"Male"	"M"	80	19815847	0.4037
	"1999"	"1999"	"25-34 years"	"25-34"	"Female"	"F"	182	19945090	0.9125
	"1999"	"1999"	"25-34 years"	"25-34"	"Male"	"M"	459	20233316	2.2685
	"1999"	"1999"	"35-44 years"	"35-44"	"Female"	"F"	1013	22669604	4.4685
	"1999"	"1999"	"35-44 years"	"35-44"	"Male"	"M"	2816	22407073	12.5675
	"1999"	"1999"	"45-54 years"	"45-54"	"Female"	"F"	1300	18632305	6.9771
	"1999"	"1999"	"45-54 years"	"45-54"	"Male"	"M"	4702	17945514	26.2015
	"1999"	"1999"	"55-64 years"	"55-64"	"Female"	"F"	958	12378763	7.7391
	"1999"	"1999"	"55-64 years"	"55-64"	"Male"	"M"	3481	11399263	30.5371
	"1999"	"1999"	"65-74 years"	"65-74"	"Female"	"F"	656	10125424	6.4787
	"1999"	"1999"	"65-74 years"	"65-74"	"Male"	"M"	2270	8293485	27.3709
	"2000"	"2000"	"15-24 years"	"15-24"	"Female"	"F"	19	19105073	Unreliable
	"2000"	"2000"	"15-24 years"	"15-24"	"Male"	"M"	76	20078818	0.3785
	"2000"	"2000"	"25-34 years"	"25-34"	"Female"	"F"	146	19771195	0.7384
	"2000"	"2000"	"25-34 years"	"25-34"	"Male"	"M"	504	20120529	2.5049
	"2000"	"2000"	"35-44 years"	"35-44"	"Female"	"F"	1029	22700729	4.5329
	"2000"	"2000"	"35-44 years"	"35-44"	"Male"	"M"	2808	22447798	12.5090
	"2000"	"2000"	"45-54 years"	"45-54"	"Female"	"F"	1351	19180722	7.0435
	"2000"	"2000"	"45-54 years"	"45-54"	"Male"	"M"	4792	18497230	25.9066
	"2000"	"2000"	"55-64 years"	"55-64"	"Female"	"F"	1053	12629328	8.3377
	"2000"	"2000"	"55-64 years"	"55-64"	"Male"	"M"	3489	11645356	29.9604
	"2000"	"2000"	"65-74 years"	"65-74"	"Female"	"F"	661	10087712	6.5525
	"2000"	"2000"	"65-74 years"	"65-74"	"Male"	"M"	2249	8303274	27.0857
	"2001"	"2001"	"15-24 years"	"15-24"	"Female"	"F"	18	19585847	Unreliable
	"2001"	"2001"	"15-24 years"	"15-24"	"Male"	"M"	88	20627723	0.4266
	"2001"	"2001"	"25-34 years"	"25-34"	"Female"	"F"	179	19567043	0.9148
	"2001"	"2001"	"25-34 years"	"25-34"	"Male"	"M"	466	19904479	2.3412
	"2001"	"2001"	"35-44 years"	"35-44"	"Female"	"F"	1081	22642429	4.7742
	"2001"	"2001"	"35-44 years"	"35-44"	"Male"	"M"	2665	22409323	11.8924
	"2001"	"2001"	"45-54 years"	"45-54"	"Female"	"F"	1611	20047081	8.0361
	"2001"	"2001"	"45-54 years"	"45-54"	"Male"	"M"	5116	19339187	26.4541
	"2001"	"2001"	"55-64 years"	"55-64"	"Female"	"F"	992	13043566	7.6053
	"2001"	"2001"	"55-64 years"	"55-64"	"Male"	"M"	3607	12061729	29.9045
