"Notes"	"Year"	"Year Code"	"Gender"	"Gender Code"	Deaths	Population	Crude Rate
	"1999"	"1999"	"Female"	"F"	444	10371906	4.2808
	"1999"	"1999"	"Male"	"M"	1077	6007026	17.9290
	"2000"	"2000"	"Female"	"F"	389	10494416	3.7067
	"2000"	"2000"	"Male"	"M"	1061	6106351	17.3754
	"2001"	"2001"	"Female"	"F"	416	10641163	3.9093
	"2001"	"2001"	"Male"	"M"	1009	6264949	16.1055
	"2002"	"2002"	"Female"	"F"	411	10741550	3.8263
	"2002"	"2002"	"Male"	"M"	980	6392122	15.3314
	"2003"	"2003"	"Female"	"F"	398	10841132	3.6712
	"2003"	"2003"	"Male"	"M"	979	6521482	15.0119
	"2004"	"2004"	"Female"	"F"	382	10905326	3.5029
	"2004"	"2004"	"Male"	"M"	1029	6630460	15.5193
	"2005"	"2005"	"Female"	"F"	393	11003290	3.5717
	"2005"	"2005"	"Male"	"M"	1044	6764811	15.4328
	"2006"	"2006"	"Female"	"F"	462	11080224	4.1696
	"2006"	"2006"	"Male"	"M"	1065	6880856	15.4777
	"2007"	"2007"	"Female"	"F"	398	11140800	3.5725
	"2007"	"2007"	"Male"	"M"	1115	6986184	15.9601
	"2008"	"2008"	"Female"	"F"	395	11189469	3.5301
	"2008"	"2008"	"Male"	"M"	1104	7082473	15.5878
	"2009"	"2009"	"Female"	"F"	396	11222594	3.5286
	"2009"	"2009"	"Male"	"M"	1054	7167482	14.7053
	"2010"	"2010"	"Female"	"F"	416	11288114	3.6853
	"2010"	"2010"	"Male"	"M"	1125	7266441	15.4821
	"2011"	"2011"	"Female"	"F"	394	11445345	3.4424
	"2011"	"2011"	"Male"	"M"	1167	7467058	15.6286
	"2012"	"2012"	"Female"	"F"	432	11547781	3.7410
	"2012"	"2012"	"Male"	"M"	1224	7612183	16.0795
	"2013"	"2013"	"Female"	"F"	417	11685009	3.5687
	"2013"	"2013"	"Male"	"M"	1271	7802299	16.2901
	"2014"	"2014"	"Female"	"F"	441	11842674	3.7238
	"2014"	"2014"	"Male"	"M"	1340	8002247	16.7453
	"2015"	"2015"	"Female"	"F"	477	12012466	3.9709
	"2015"	"2015"	"Male"	"M"	1446	8197869	17.6387
	"2016"	"2016"	"Female"	"F"	490	12212148	4.0124
	"2016"	"2016"	"Male"	"M"	1594	8401717	18.9723
	"2017"	"2017"	"Female"	"F"	514	12487689	4.1161
	"2017"	"2017"	"Male"	"M"	1613	8687544	18.5668
	"2018"	"2018"	"Female"	"F"	560	12878144	4.3485
	"2018"	"2018"	"Male"	"M"	1755	9060733	19.3693
	"2019"	"2019"	"Female"	"F"	584	13200119	4.4242
	"2019"	"2019"	"Male"	"M"	1857	9374711	19.8086
	"2020 "	"2020"	"Female"	"F"	717	13471999	5.3222
	"2020 "	"2020"	"Male"	"M"	2075	9637968	21.5294
	"2021"	"2021"	"Female"	"F"	771	12837374	6.0059
	"2021"	"2021"	"Male"	"M"	2193	9344457	23.4685
	"2022 "	"2022"	"Female"	"F"	846	13987741	6.0482
	"2022 "	"2022"	"Male"	"M"	2402	10018672	23.9752
	"2023 "	"2023"	"Female"	"F"	893	14116617	6.3259
	"2023 "	"2023"	"Male"	"M"	2374	10446460	22.7254
	"2024 (provisional)"	"2024"	"Female"	"F"	929	14116617	6.5809
	"2024 (provisional)"	"2024"	"Male"	"M"	2381	10446460	22.7924
