"Notes"	"Year"	"Year Code"	"Gender"	"Gender Code"	Deaths	Population	Crude Rate
	"2018"	"2018"	"Female"	"F"	7146	166038755	4.3038
	"2018"	"2018"	"Male"	"M"	16333	161128679	10.1366
	"2019"	"2019"	"Female"	"F"	7532	166582199	4.5215
	"2019"	"2019"	"Male"	"M"	16879	161657324	10.4412
	"2020"	"2020"	"Female"	"F"	9487	167227921	5.6731
	"2020"	"2020"	"Male"	"M"	20397	162256202	12.5709
	"2021"	"2021"	"Female"	"F"	10606	167509003	6.3316
	"2021"	"2021"	"Male"	"M"	22923	164384742	13.9447
	"2022"	"2022"	"Female"	"F"	9948	168004004	5.9213
	"2022"	"2022"	"Male"	"M"	21320	165283553	12.8990
	"2023"	"2023"	"Female"	"F"	9276	169165495	5.4834
	"2023"	"2023"	"Male"	"M"	19682	165749400	11.8746
	"2024 (provisional)"	"2024"	"Female"	"F"	8998	169165495	5.3191
	"2024 (provisional)"	"2024"	"Male"	"M"	18426	165749400	11.1168
