"Notes"	"Year"	"Year Code"	"Gender"	"Gender Code"	Deaths	Population	Crude Rate
	"2018"	"2018"	"Female"	"F"	3538	166038755	2.1308
	"2018"	"2018"	"Male"	"M"	10550	161128679	6.5476
	"2019"	"2019"	"Female"	"F"	3828	166582199	2.2980
	"2019"	"2019"	"Male"	"M"	11088	161657324	6.8590
	"2020"	"2020"	"Female"	"F"	4940	167227921	2.9541
	"2020"	"2020"	"Male"	"M"	14946	162256202	9.2114
	"2021"	"2021"	"Female"	"F"	5415	167509003	3.2327
	"2021"	"2021"	"Male"	"M"	16463	164384742	10.0149
	"2022"	"2022"	"Female"	"F"	5299	168004004	3.1541
	"2022"	"2022"	"Male"	"M"	15717	165283553	9.5091
	"2023"	"2023"	"Female"	"F"	5221	169165495	3.0863
	"2023"	"2023"	"Male"	"M"	15196	165749400	9.1681
	"2024 (provisional)"	"2024"	"Female"	"F"	4640	169165495	2.7429
	"2024 (provisional)"	"2024"	"Male"	"M"	13548	165749400	8.1738
