"Notes"	"Year"	"Year Code"	"Gender"	"Gender Code"	Deaths	Population	Crude Rate
	"2018"	"2018"	"Female"	"F"	606	166038755	0.3650
	"2018"	"2018"	"Male"	"M"	1840	161128679	1.1419
	"2019"	"2019"	"Female"	"F"	653	166582199	0.3920
	"2019"	"2019"	"Male"	"M"	1846	161657324	1.1419
	"2020"	"2020"	"Female"	"F"	704	167227921	0.4210
	"2020"	"2020"	"Male"	"M"	2177	162256202	1.3417
	"2021"	"2021"	"Female"	"F"	672	167509003	0.4012
	"2021"	"2021"	"Male"	"M"	2080	164384742	1.2653
	"2022"	"2022"	"Female"	"F"	597	168004004	0.3553
	"2022"	"2022"	"Male"	"M"	1857	165283553	1.1235
	"2023"	"2023"	"Female"	"F"	572	169165495	0.3381
	"2023"	"2023"	"Male"	"M"	1658	165749400	1.0003
	"2024 (provisional)"	"2024"	"Female"	"F"	334	169165495	0.1974
	"2024 (provisional)"	"2024"	"Male"	"M"	945	165749400	0.5701
