,Year Code,County,Deaths,Population,Crude Rate
0,1999,"Autauga County, AL",,42963.0,
1,1999,"Baldwin County, AL",10.0,137555.0,7.269819344989277
2,1999,"Barbour County, AL",,28866.0,
3,1999,"Bibb County, AL",0.0,20560.0,0.0
4,1999,"Blount County, AL",0.0,50237.0,0.0
5,1999,"Bullock County, AL",0.0,11755.0,0.0
6,1999,"Butler County, AL",0.0,21605.0,0.0
7,1999,"Calhoun County, AL",,114910.0,
8,1999,"Chambers County, AL",,36527.0,
9,1999,"Cherokee County, AL",,23605.0,
10,1999,"Chilton County, AL",,38862.0,
11,1999,"Choctaw County, AL",,15931.0,
12,1999,"Clarke County, AL",,27919.0,
13,1999,"Clay County, AL",,14174.0,
14,1999,"Cleburne County, AL",0.0,14039.0,0.0
15,1999,"Coffee County, AL",0.0,43667.0,0.0
16,1999,"Colbert County, AL",0.0,54715.0,0.0
17,1999,"Conecuh County, AL",,14158.0,
18,1999,"Coosa County, AL",0.0,12135.0,0.0
19,1999,"Covington County, AL",,37843.0,
20,1999,"Crenshaw County, AL",,13584.0,
21,1999,"Cullman County, AL",,77065.0,
22,1999,"Dale County, AL",,49118.0,
23,1999,"Dallas County, AL",,46722.0,
24,1999,"DeKalb County, AL",,63593.0,
25,1999,"Elmore County, AL",,64668.0,
26,1999,"Escambia County, AL",,38336.0,
27,1999,"Etowah County, AL",,104002.0,
28,1999,"Fayette County, AL",,18496.0,
29,1999,"Franklin County, AL",,31163.0,
30,1999,"Geneva County, AL",,25585.0,
31,1999,"Greene County, AL",,10004.0,
32,1999,"Hale County, AL",0.0,16982.0,0.0
33,1999,"Henry County, AL",,16129.0,
34,1999,"Houston County, AL",,88256.0,
35,1999,"Jackson County, AL",,53433.0,
36,1999,"Jefferson County, AL",68.0,662845.0,10.258808620416538
37,1999,"Lamar County, AL",0.0,15889.0,0.0
38,1999,"Lauderdale County, AL",,87590.0,
39,1999,"Lawrence County, AL",,34537.0,
40,1999,"Lee County, AL",,112898.0,
41,1999,"Limestone County, AL",,64880.0,
42,1999,"Lowndes County, AL",,13361.0,
43,1999,"Macon County, AL",0.0,24085.0,0.0
44,1999,"Madison County, AL",,274692.0,
45,1999,"Marengo County, AL",,22519.0,
46,1999,"Marion County, AL",,31264.0,
47,1999,"Marshall County, AL",,81992.0,
48,1999,"Mobile County, AL",22.0,399323.0,5.50932453177002
49,1999,"Monroe County, AL",,24440.0,
50,1999,"Montgomery County, AL",11.0,223548.0,4.920643441229624
51,1999,"Morgan County, AL",,110670.0,
52,1999,"Perry County, AL",0.0,12001.0,0.0
53,1999,"Pickens County, AL",0.0,21036.0,0.0
54,1999,"Pike County, AL",,29469.0,
55,1999,"Randolph County, AL",,22072.0,
56,1999,"Russell County, AL",,49982.0,
57,1999,"St. Clair County, AL",,63650.0,
58,1999,"Shelby County, AL",,140502.0,
59,1999,"Sumter County, AL",0.0,14976.0,0.0
60,1999,"Talladega County, AL",,79971.0,
61,1999,"Tallapoosa County, AL",,41649.0,
62,1999,"Tuscaloosa County, AL",11.0,164411.0,6.690549902378795
63,1999,"Walker County, AL",,70784.0,
64,1999,"Washington County, AL",,18003.0,
65,1999,"Wilcox County, AL",,13261.0,
66,1999,"Winston County, AL",0.0,24679.0,0.0
67,1999,"Aleutians East Borough, AK",0.0,2739.0,0.0
68,1999,"Aleutians West Census Area, AK",0.0,5396.0,0.0
69,1999,"Anchorage Borough, AK",34.0,259348.0,13.109798417570214
70,1999,"Bethel Census Area, AK",,15841.0,
71,1999,"Bristol Bay Borough, AK",,1313.0,
72,1999,"Denali Borough, AK",,,
73,1999,"Dillingham Census Area, AK",0.0,4872.0,0.0
74,1999,"Fairbanks North Star Borough, AK",10.0,83390.0,11.99184554502938
75,1999,"Haines Borough, AK",0.0,2354.0,0.0
76,1999,"Hoonah-Angoon Census Area, AK",,,
77,1999,"Juneau Borough, AK",,30724.0,
78,1999,"Kenai Peninsula Borough, AK",,49729.0,
79,1999,"Ketchikan Gateway Borough, AK",,14302.0,
80,1999,"Kodiak Island Borough, AK",,13760.0,
81,1999,"Lake and Peninsula Borough, AK",,1847.0,
82,1999,"Matanuska-Susitna Borough, AK",,57824.0,
83,1999,"Nome Census Area, AK",,9204.0,
84,1999,"North Slope Borough, AK",,7384.0,
85,1999,"Northwest Arctic Borough, AK",,7113.0,
86,1999,"Petersburg Borough/Census Area, AK",,,
87,1999,"Prince of Wales-Hyder Census Area, AK",,,
88,1999,"Prince of Wales-Outer Ketchikan Census Area, AK",,6210.0,
89,1999,"Sitka Borough, AK",,8805.0,
90,1999,"Skagway Municipality, AK",,,
91,1999,"Skagway-Hoonah-Angoon Census Area, AK",0.0,3453.0,0.0
92,1999,"Southeast Fairbanks Census Area, AK",,6169.0,
93,1999,"Valdez-Cordova Census Area, AK",,10077.0,
94,1999,"Wade Hampton Census Area, AK",,6929.0,
95,1999,"Wrangell City and Borough, AK",,,
96,1999,"Wrangell-Petersburg Census Area, AK",,6681.0,
97,1999,"Yakutat Borough, AK",0.0,843.0,0.0
98,1999,"Yukon-Koyukuk Census Area, AK",,8472.0,
99,1999,"Apache County, AZ",20.0,69801.0,28.65288462916004
100,1999,"Cochise County, AZ",,116530.0,
101,1999,"Coconino County, AZ",11.0,115307.0,9.539750405439392
102,1999,"Gila County, AZ",13.0,50990.0,25.495195136301234
103,1999,"Graham County, AZ",,33279.0,
104,1999,"Greenlee County, AZ",0.0,8535.0,0.0
105,1999,"La Paz County, AZ",,19355.0,
106,1999,"Maricopa County, AZ",216.0,3004985.0,7.188055847200569
107,1999,"Mohave County, AZ",27.0,150351.0,17.957978330706148
108,1999,"Navajo County, AZ",20.0,96100.0,20.81165452653486
109,1999,"Pima County, AZ",86.0,828905.0,10.375133459202202
110,1999,"Pinal County, AZ",17.0,173364.0,9.80595740753559
111,1999,"Santa Cruz County, AZ",,37713.0,
112,1999,"Yavapai County, AZ",21.0,162943.0,12.887942409308778
113,1999,"Yuma County, AZ",15.0,155665.0,9.636077474062892
114,1999,"Arkansas County, AR",0.0,20966.0,0.0
115,1999,"Ashley County, AR",,24261.0,
116,1999,"Baxter County, AR",,38055.0,
117,1999,"Benton County, AR",,148636.0,
118,1999,"Boone County, AR",0.0,33436.0,0.0
119,1999,"Bradley County, AR",0.0,12518.0,0.0
120,1999,"Calhoun County, AR",0.0,5764.0,0.0
121,1999,"Carroll County, AR",,25062.0,
122,1999,"Chicot County, AR",0.0,14265.0,0.0
123,1999,"Clark County, AR",0.0,23490.0,0.0
124,1999,"Clay County, AR",,17707.0,
125,1999,"Cleburne County, AR",,23806.0,
126,1999,"Cleveland County, AR",0.0,8589.0,0.0
127,1999,"Columbia County, AR",0.0,25614.0,0.0
128,1999,"Conway County, AR",0.0,20275.0,0.0
129,1999,"Craighead County, AR",0.0,81038.0,0.0
130,1999,"Crawford County, AR",,52708.0,
131,1999,"Crittenden County, AR",,50530.0,
132,1999,"Cross County, AR",0.0,19589.0,0.0
133,1999,"Dallas County, AR",0.0,9272.0,0.0
134,1999,"Desha County, AR",0.0,15351.0,0.0
135,1999,"Drew County, AR",0.0,18683.0,0.0
136,1999,"Faulkner County, AR",,84633.0,
137,1999,"Franklin County, AR",,17779.0,
138,1999,"Fulton County, AR",0.0,11519.0,0.0
139,1999,"Garland County, AR",,87177.0,
140,1999,"Grant County, AR",0.0,16312.0,0.0
141,1999,"Greene County, AR",0.0,36881.0,0.0
142,1999,"Hempstead County, AR",0.0,23536.0,0.0
143,1999,"Hot Spring County, AR",,30155.0,
