"Notes"	"Year"	"Year Code"	"Gender"	"Gender Code"	Deaths	Population	Crude Rate
	"1999"	"1999"	"Female"	"F"	320	16501431	1.9392
	"1999"	"1999"	"Male"	"M"	1864	17436364	10.6903
	"2000"	"2000"	"Female"	"F"	299	17144023	1.7440
	"2000"	"2000"	"Male"	"M"	2024	18161795	11.1443
	"2001"	"2001"	"Female"	"F"	355	18058983	1.9658
	"2001"	"2001"	"Male"	"M"	2026	19085113	10.6156
	"2002"	"2002"	"Female"	"F"	343	18799575	1.8245
	"2002"	"2002"	"Male"	"M"	2065	19818045	10.4198
	"2003"	"2003"	"Female"	"F"	374	19531088	1.9149
	"2003"	"2003"	"Male"	"M"	2048	20518341	9.9813
	"2004"	"2004"	"Female"	"F"	350	20265561	1.7271
	"2004"	"2004"	"Male"	"M"	2056	21235814	9.6818
	"2005"	"2005"	"Female"	"F"	393	21035554	1.8683
	"2005"	"2005"	"Male"	"M"	2265	21988060	10.3010
	"2006"	"2006"	"Female"	"F"	463	21839437	2.1200
	"2006"	"2006"	"Male"	"M"	2341	22766868	10.2825
	"2007"	"2007"	"Female"	"F"	438	22652813	1.9335
	"2007"	"2007"	"Male"	"M"	2539	23544040	10.7840
	"2008"	"2008"	"Female"	"F"	499	23470879	2.1260
	"2008"	"2008"	"Male"	"M"	2522	24322906	10.3688
	"2009"	"2009"	"Female"	"F"	521	24263445	2.1473
	"2009"	"2009"	"Male"	"M"	2618	25064044	10.4452
	"2010"	"2010"	"Female"	"F"	567	24858794	2.2809
	"2010"	"2010"	"Male"	"M"	2759	25618800	10.7694
	"2011"	"2011"	"Female"	"F"	603	25602066	2.3553
	"2011"	"2011"	"Male"	"M"	2842	26443211	10.7476
	"2012"	"2012"	"Female"	"F"	610	26098137	2.3373
	"2012"	"2012"	"Male"	"M"	2903	26929571	10.7800
	"2013"	"2013"	"Female"	"F"	664	26610478	2.4953
	"2013"	"2013"	"Male"	"M"	3034	27460892	11.0484
	"2014"	"2014"	"Female"	"F"	734	27369609	2.6818
	"2014"	"2014"	"Male"	"M"	3393	28017930	12.1101
	"2015"	"2015"	"Female"	"F"	831	27989392	2.9690
	"2015"	"2015"	"Male"	"M"	3643	28603401	12.7362
	"2016"	"2016"	"Female"	"F"	897	28454666	3.1524
	"2016"	"2016"	"Male"	"M"	3814	29015621	13.1446
	"2017"	"2017"	"Female"	"F"	883	29167532	3.0273
	"2017"	"2017"	"Male"	"M"	3934	29779197	13.2106
	"2018"	"2018"	"Female"	"F"	860	29637561	2.9017
	"2018"	"2018"	"Male"	"M"	4109	30234185	13.5906
	"2019"	"2019"	"Female"	"F"	1016	30001200	3.3865
	"2019"	"2019"	"Male"	"M"	4442	30571037	14.5301
	"2020 "	"2020"	"Female"	"F"	1289	30390344	4.2415
	"2020 "	"2020"	"Male"	"M"	5448	30922535	17.6182
