"Notes"	"Year"	"Year Code"	"Month"	"Month Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"Gender"	"Gender Code"	Deaths	Population	Crude Rate
	"2018"	"2018"	"Jan., 2018"	"2018/01"	"35-44 years"	"35-44"	"Female"	"F"	35	Not Applicable	Not Applicable
	"2018"	"2018"	"Jan., 2018"	"2018/01"	"35-44 years"	"35-44"	"Male"	"M"	114	Not Applicable	Not Applicable
	"2018"	"2018"	"Jan., 2018"	"2018/01"	"45-54 years"	"45-54"	"Female"	"F"	84	Not Applicable	Not Applicable
	"2018"	"2018"	"Jan., 2018"	"2018/01"	"45-54 years"	"45-54"	"Male"	"M"	227	Not Applicable	Not Applicable
	"2018"	"2018"	"Jan., 2018"	"2018/01"	"55-64 years"	"55-64"	"Female"	"F"	106	Not Applicable	Not Applicable
	"2018"	"2018"	"Jan., 2018"	"2018/01"	"55-64 years"	"55-64"	"Male"	"M"	354	Not Applicable	Not Applicable
	"2018"	"2018"	"Jan., 2018"	"2018/01"	"65-74 years"	"65-74"	"Female"	"F"	46	Not Applicable	Not Applicable
	"2018"	"2018"	"Jan., 2018"	"2018/01"	"65-74 years"	"65-74"	"Male"	"M"	189	Not Applicable	Not Applicable
	"2018"	"2018"	"Feb., 2018"	"2018/02"	"35-44 years"	"35-44"	"Female"	"F"	28	Not Applicable	Not Applicable
	"2018"	"2018"	"Feb., 2018"	"2018/02"	"35-44 years"	"35-44"	"Male"	"M"	87	Not Applicable	Not Applicable
	"2018"	"2018"	"Feb., 2018"	"2018/02"	"45-54 years"	"45-54"	"Female"	"F"	67	Not Applicable	Not Applicable
	"2018"	"2018"	"Feb., 2018"	"2018/02"	"45-54 years"	"45-54"	"Male"	"M"	180	Not Applicable	Not Applicable
	"2018"	"2018"	"Feb., 2018"	"2018/02"	"55-64 years"	"55-64"	"Female"	"F"	87	Not Applicable	Not Applicable
	"2018"	"2018"	"Feb., 2018"	"2018/02"	"55-64 years"	"55-64"	"Male"	"M"	287	Not Applicable	Not Applicable
	"2018"	"2018"	"Feb., 2018"	"2018/02"	"65-74 years"	"65-74"	"Female"	"F"	35	Not Applicable	Not Applicable
	"2018"	"2018"	"Feb., 2018"	"2018/02"	"65-74 years"	"65-74"	"Male"	"M"	140	Not Applicable	Not Applicable
	"2018"	"2018"	"Mar., 2018"	"2018/03"	"35-44 years"	"35-44"	"Female"	"F"	38	Not Applicable	Not Applicable
	"2018"	"2018"	"Mar., 2018"	"2018/03"	"35-44 years"	"35-44"	"Male"	"M"	104	Not Applicable	Not Applicable
	"2018"	"2018"	"Mar., 2018"	"2018/03"	"45-54 years"	"45-54"	"Female"	"F"	75	Not Applicable	Not Applicable
	"2018"	"2018"	"Mar., 2018"	"2018/03"	"45-54 years"	"45-54"	"Male"	"M"	203	Not Applicable	Not Applicable
	"2018"	"2018"	"Mar., 2018"	"2018/03"	"55-64 years"	"55-64"	"Female"	"F"	103	Not Applicable	Not Applicable
	"2018"	"2018"	"Mar., 2018"	"2018/03"	"55-64 years"	"55-64"	"Male"	"M"	311	Not Applicable	Not Applicable
	"2018"	"2018"	"Mar., 2018"	"2018/03"	"65-74 years"	"65-74"	"Female"	"F"	41	Not Applicable	Not Applicable
	"2018"	"2018"	"Mar., 2018"	"2018/03"	"65-74 years"	"65-74"	"Male"	"M"	160	Not Applicable	Not Applicable
	"2018"	"2018"	"Apr., 2018"	"2018/04"	"35-44 years"	"35-44"	"Female"	"F"	37	Not Applicable	Not Applicable
	"2018"	"2018"	"Apr., 2018"	"2018/04"	"35-44 years"	"35-44"	"Male"	"M"	115	Not Applicable	Not Applicable
	"2018"	"2018"	"Apr., 2018"	"2018/04"	"45-54 years"	"45-54"	"Female"	"F"	67	Not Applicable	Not Applicable
	"2018"	"2018"	"Apr., 2018"	"2018/04"	"45-54 years"	"45-54"	"Male"	"M"	199	Not Applicable	Not Applicable
	"2018"	"2018"	"Apr., 2018"	"2018/04"	"55-64 years"	"55-64"	"Female"	"F"	88	Not Applicable	Not Applicable
	"2018"	"2018"	"Apr., 2018"	"2018/04"	"55-64 years"	"55-64"	"Male"	"M"	290	Not Applicable	Not Applicable
	"2018"	"2018"	"Apr., 2018"	"2018/04"	"65-74 years"	"65-74"	"Female"	"F"	41	Not Applicable	Not Applicable
	"2018"	"2018"	"Apr., 2018"	"2018/04"	"65-74 years"	"65-74"	"Male"	"M"	155	Not Applicable	Not Applicable
	"2018"	"2018"	"May, 2018"	"2018/05"	"35-44 years"	"35-44"	"Female"	"F"	38	Not Applicable	Not Applicable
	"2018"	"2018"	"May, 2018"	"2018/05"	"35-44 years"	"35-44"	"Male"	"M"	115	Not Applicable	Not Applicable
	"2018"	"2018"	"May, 2018"	"2018/05"	"45-54 years"	"45-54"	"Female"	"F"	63	Not Applicable	Not Applicable
	"2018"	"2018"	"May, 2018"	"2018/05"	"45-54 years"	"45-54"	"Male"	"M"	222	Not Applicable	Not Applicable
	"2018"	"2018"	"May, 2018"	"2018/05"	"55-64 years"	"55-64"	"Female"	"F"	79	Not Applicable	Not Applicable
	"2018"	"2018"	"May, 2018"	"2018/05"	"55-64 years"	"55-64"	"Male"	"M"	308	Not Applicable	Not Applicable
	"2018"	"2018"	"May, 2018"	"2018/05"	"65-74 years"	"65-74"	"Female"	"F"	48	Not Applicable	Not Applicable
	"2018"	"2018"	"May, 2018"	"2018/05"	"65-74 years"	"65-74"	"Male"	"M"	158	Not Applicable	Not Applicable
	"2018"	"2018"	"Jun., 2018"	"2018/06"	"35-44 years"	"35-44"	"Female"	"F"	41	Not Applicable	Not Applicable
	"2018"	"2018"	"Jun., 2018"	"2018/06"	"35-44 years"	"35-44"	"Male"	"M"	97	Not Applicable	Not Applicable
