"Notes"	"Year"	"Year Code"	"Gender"	"Gender Code"	"Race"	"Race Code"	Deaths	Population	Crude Rate
	"1999"	"1999"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	190	1151278	16.5034
	"1999"	"1999"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	24	5649503	0.4248
	"1999"	"1999"	"Female"	"F"	"Black or African American"	"2054-5"	728	18236499	3.9920
	"1999"	"1999"	"Female"	"F"	"White"	"2106-3"	3296	100698584	3.2731
	"1999"	"1999"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	384	1117398	34.3656
	"1999"	"1999"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	118	5307840	2.2231
	"1999"	"1999"	"Male"	"M"	"Black or African American"	"2054-5"	2066	16485737	12.5320
	"1999"	"1999"	"Male"	"M"	"White"	"2106-3"	10337	96455534	10.7169
	"2000"	"2000"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	181	1188767	15.2259
	"2000"	"2000"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	33	5842544	0.5648
	"2000"	"2000"	"Female"	"F"	"Black or African American"	"2054-5"	713	18419074	3.8710
	"2000"	"2000"	"Female"	"F"	"White"	"2106-3"	3407	100773935	3.3808
	"2000"	"2000"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	346	1155275	29.9496
	"2000"	"2000"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	130	5513009	2.3581
	"2000"	"2000"	"Male"	"M"	"Black or African American"	"2054-5"	1959	16672735	11.7497
	"2000"	"2000"	"Male"	"M"	"White"	"2106-3"	10408	96550749	10.7798
	"2001"	"2001"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	201	1197605	16.7835
	"2001"	"2001"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	33	6176359	0.5343
	"2001"	"2001"	"Female"	"F"	"Black or African American"	"2054-5"	661	18692119	3.5362
	"2001"	"2001"	"Female"	"F"	"White"	"2106-3"	3689	100952397	3.6542
	"2001"	"2001"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	375	1163016	32.2438
	"2001"	"2001"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	121	5806819	2.0838
	"2001"	"2001"	"Male"	"M"	"Black or African American"	"2054-5"	2016	16946270	11.8964
	"2001"	"2001"	"Male"	"M"	"White"	"2106-3"	10497	96890274	10.8339
	"2002"	"2002"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	207	1209695	17.1118
	"2002"	"2002"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	37	6440155	0.5745
	"2002"	"2002"	"Female"	"F"	"Black or African American"	"2054-5"	628	18902852	3.3222
	"2002"	"2002"	"Female"	"F"	"White"	"2106-3"	3711	101042357	3.6727
	"2002"	"2002"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	375	1173608	31.9527
	"2002"	"2002"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	152	6032229	2.5198
	"2002"	"2002"	"Male"	"M"	"Black or African American"	"2054-5"	1768	17147052	10.3108
	"2002"	"2002"	"Male"	"M"	"White"	"2106-3"	10783	97059625	11.1097
	"2003"	"2003"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	225	1221366	18.4220
	"2003"	"2003"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	21	6695437	0.3136
	"2003"	"2003"	"Female"	"F"	"Black or African American"	"2054-5"	580	19101453	3.0364
	"2003"	"2003"	"Female"	"F"	"White"	"2106-3"	3844	101129692	3.8011
	"2003"	"2003"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	418	1183110	35.3306
	"2003"	"2003"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	152	6246900	2.4332
	"2003"	"2003"	"Male"	"M"	"Black or African American"	"2054-5"	1787	17320752	10.3171
	"2003"	"2003"	"Male"	"M"	"White"	"2106-3"	11133	97159794	11.4584
	"2004"	"2004"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	224	1233626	18.1579
	"2004"	"2004"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	28	6945549	0.4031
	"2004"	"2004"	"Female"	"F"	"Black or African American"	"2054-5"	564	19311650	2.9205
	"2004"	"2004"	"Female"	"F"	"White"	"2106-3"	3990	101220900	3.9419
	"2004"	"2004"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	403	1194873	33.7274
	"2004"	"2004"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	176	6460981	2.7240
	"2004"	"2004"	"Male"	"M"	"Black or African American"	"2054-5"	1754	17537341	10.0015
	"2004"	"2004"	"Male"	"M"	"White"	"2106-3"	11428	97399003	11.7332
	"2005"	"2005"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	219	1246875	17.5639
	"2005"	"2005"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	37	7207666	0.5133
	"2005"	"2005"	"Female"	"F"	"Black or African American"	"2054-5"	612	19524942	3.1345
	"2005"	"2005"	"Female"	"F"	"White"	"2106-3"	4119	101304484	4.0660
	"2005"	"2005"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	424	1206095	35.1548
	"2005"	"2005"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	186	6680629	2.7842
	"2005"	"2005"	"Male"	"M"	"Black or African American"	"2054-5"	1670	17745794	9.4107
	"2005"	"2005"	"Male"	"M"	"White"	"2106-3"	11610	97576500	11.8984
	"2006"	"2006"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	253	1259856	20.0817
	"2006"	"2006"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	35	7472883	0.4684
	"2006"	"2006"	"Female"	"F"	"Black or African American"	"2054-5"	567	19749975	2.8709
	"2006"	"2006"	"Female"	"F"	"White"	"2106-3"	4277	101410496	4.2175
	"2006"	"2006"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	438	1217864	35.9646
	"2006"	"2006"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	219	6903113	3.1725
	"2006"	"2006"	"Male"	"M"	"Black or African American"	"2054-5"	1561	17969520	8.6869
	"2006"	"2006"	"Male"	"M"	"White"	"2106-3"	11837	97789900	12.1045
	"2007"	"2007"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	273	1272881	21.4474
	"2007"	"2007"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	49	7733773	0.6336
	"2007"	"2007"	"Female"	"F"	"Black or African American"	"2054-5"	536	19986736	2.6818
	"2007"	"2007"	"Female"	"F"	"White"	"2106-3"	4461	101520150	4.3942
	"2007"	"2007"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	467	1229652	37.9782
	"2007"	"2007"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	196	7120928	2.7525
	"2007"	"2007"	"Male"	"M"	"Black or African American"	"2054-5"	1674	18197963	9.1988
	"2007"	"2007"	"Male"	"M"	"White"	"2106-3"	12474	97972271	12.7322
	"2008"	"2008"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	303	1286595	23.5505
	"2008"	"2008"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	42	7995937	0.5253
	"2008"	"2008"	"Female"	"F"	"Black or African American"	"2054-5"	580	20223930	2.8679
	"2008"	"2008"	"Female"	"F"	"White"	"2106-3"	4599	101626674	4.5254
	"2008"	"2008"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	520	1241875	41.8722
	"2008"	"2008"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	221	7340244	3.0108
	"2008"	"2008"	"Male"	"M"	"Black or African American"	"2054-5"	1660	18427803	9.0081
	"2008"	"2008"	"Male"	"M"	"White"	"2106-3"	13160	98157123	13.4071
	"2009"	"2009"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	309	1299202	23.7838
	"2009"	"2009"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	54	8245449	0.6549
	"2009"	"2009"	"Female"	"F"	"Black or African American"	"2054-5"	611	20455967	2.9869
	"2009"	"2009"	"Female"	"F"	"White"	"2106-3"	4916	101700012	4.8338
	"2009"	"2009"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	480	1252949	38.3096
	"2009"	"2009"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	221	7548546	2.9277
	"2009"	"2009"	"Male"	"M"	"Black or African American"	"2054-5"	1688	18648848	9.0515
	"2009"	"2009"	"Male"	"M"	"White"	"2106-3"	12986	98293067	13.2115
	"2010"	"2010"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	312	1308430	23.8454
	"2010"	"2010"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	46	8431185	0.5456
	"2010"	"2010"	"Female"	"F"	"Black or African American"	"2054-5"	635	20624873	3.0788
	"2010"	"2010"	"Female"	"F"	"White"	"2106-3"	5071	101740930	4.9842
	"2010"	"2010"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	581	1261137	46.0695
	"2010"	"2010"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	201	7702687	2.6095
	"2010"	"2010"	"Male"	"M"	"Black or African American"	"2054-5"	1661	18812260	8.8293
	"2010"	"2010"	"Male"	"M"	"White"	"2106-3"	13735	98386442	13.9603
	"2011"	"2011"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	348	1323181	26.3003
	"2011"	"2011"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	59	8662304	0.6811
	"2011"	"2011"	"Female"	"F"	"Black or African American"	"2054-5"	686	20870136	3.2870
	"2011"	"2011"	"Female"	"F"	"White"	"2106-3"	5445	101843411	5.3464
	"2011"	"2011"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	553	1275611	43.3518
	"2011"	"2011"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	261	7917405	3.2965
	"2011"	"2011"	"Male"	"M"	"Black or African American"	"2054-5"	1706	19074760	8.9438
	"2011"	"2011"	"Male"	"M"	"White"	"2106-3"	14026	98579832	14.2281
	"2012"	"2012"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	361	1334724	27.0468
	"2012"	"2012"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	49	8975965	0.5459
