,Year,Month,Time Point,15-34 years,35-44 years,45-54 years,55-64 years,65-74 years,75+ years
0,2018,1,2018.0,43412896,20552585,21225494,21760156,16022634,12627114
1,2018,2,2018.0833333333333,43414867,20568390,21197176,21771102,16051889,12649524
2,2018,3,2018.1666666666667,43419004,20585336,21170316,21783878,16082633,12673174
3,2018,4,2018.25,43425695,20603436,21144554,21797698,16114124,12697400
4,2018,5,2018.3333333333333,43430810,20624037,21115046,21811760,16149256,12726171
5,2018,6,2018.4166666666667,43439317,20646202,21087111,21827408,16185541,12755852
6,2018,7,2018.5,43448339,20668611,21059449,21843372,16222077,12785733
7,2018,8,2018.5833333333333,43452795,20688512,21025251,21853293,16270890,12825250
8,2018,9,2018.6666666666667,43459371,20709378,20992007,21864168,16320393,12865310
9,2018,10,2018.75,43463880,20729293,20957839,21874138,16369247,12904865
10,2018,11,2018.8333333333333,43469141,20744810,20926734,21884868,16417623,12932554
11,2018,12,2018.9166666666667,43472157,20759289,20894591,21894534,16465206,12959614
12,2019,1,2019.0,43473515,20772952,20861558,21903162,16511955,12985998
13,2019,2,2019.0833333333333,43476304,20788318,20830700,21907159,16554083,13003892
14,2019,3,2019.1666666666667,43481106,20804761,20801126,21912801,16597581,13022917
15,2019,4,2019.25,43488657,20822447,20772696,21919508,16641824,13042504
16,2019,5,2019.3333333333333,43491098,20839069,20745818,21925466,16687131,13066923
17,2019,6,2019.4166666666667,43496972,20857294,20720508,21933039,16733644,13092289
18,2019,7,2019.5,43503145,20875681,20695392,21940870,16780384,13117823
19,2019,8,2019.5833333333333,43499489,20896352,20669666,21943601,16835883,13156041
20,2019,9,2019.6666666666667,43497985,20918032,20644910,21947322,16892128,13194818
21,2019,10,2019.75,43494278,20938697,20619208,21950122,16947701,13233097
22,2019,11,2019.8333333333333,43495849,20952950,20595740,21951958,17002645,13262232
23,2019,12,2019.9166666666667,43495132,20966133,20571257,21952760,17056812,13290777
24,2020,1,2020.0,43492767,20978502,20545925,21952586,17110189,13318684
25,2020,2,2020.0833333333333,43489581,20995103,20525860,21945743,17151863,13332562
26,2020,3,2020.1666666666667,43488780,21012991,20507237,21940774,17195141,13347747
27,2020,4,2020.25,43606700,21248845,20619388,21986896,17074364,12631593
28,2020,5,2020.3333333333333,43593781,21265870,20599903,21979524,17116617,12638034
29,2020,6,2020.4166666666667,43587261,21286026,20583517,21975585,17161586,12646498
30,2020,7,2020.5,43584302,21307937,20568864,21973601,17208126,12656136
31,2020,8,2020.5833333333333,43578989,21332199,20548570,21965685,17263603,12678144
32,2020,9,2020.6666666666667,43573524,21356385,20528186,21957654,17318971,12700072
33,2020,10,2020.75,43569629,21381367,20508612,21950561,17375116,12722574
34,2020,11,2020.8333333333333,43571362,21402392,20493815,21941870,17429740,12729564
35,2020,12,2020.9166666666667,43566671,21420271,20475973,21929836,17481665,12734556
36,2021,1,2021.0,43555441,21434811,20454837,21914028,17530465,12737227
37,2021,2,2021.0833333333333,43547118,21448049,20438801,21890844,17575809,12738486
38,2021,3,2021.1666666666667,43547856,21465933,20427390,21873031,17625656,12743089
39,2021,4,2021.25,43554719,21486757,20418721,21858106,17677820,12749352
40,2021,5,2021.3333333333333,43556482,21508921,20404833,21849064,17713445,12780838
41,2021,6,2021.4166666666667,43559152,21531529,20391357,21840446,17749399,12812550
42,2021,7,2021.5,43565065,21555714,20379384,21833456,17786679,12845223
43,2021,8,2021.5833333333333,43580205,21581692,20371207,21812743,17817938,12898951
44,2021,9,2021.6666666666667,43590576,21605232,20360653,21789256,17846827,12950932
45,2021,10,2021.75,43599484,21628047,20349402,21764975,17875035,13002407
46,2021,11,2021.8333333333333,43615227,21642806,20340343,21745775,17885890,13062151
47,2021,12,2021.9166666666667,43630640,21657439,20331191,21726539,17896749,13121915
48,2022,1,2022.0,43643595,21670740,20320721,21705712,17906195,13180599
49,2022,2,2022.0833333333333,43656429,21681734,20313590,21683222,17909121,13225274
50,2022,3,2022.1666666666667,43675905,21696242,20309911,21664837,17915650,13272690
51,2022,4,2022.25,43702095,21714027,20309274,21649693,17924865,13322109
52,2022,5,2022.3333333333333,43717697,21733881,20309765,21630118,17948654,13374160
53,2022,6,2022.4166666666667,43733452,21753801,20310296,21610537,17972414,13426172
54,2022,7,2022.5,43751254,21774704,20311746,21591932,17996971,13478783
55,2022,8,2022.5833333333333,43768860,21793579,20312892,21567708,18030171,13535412
56,2022,9,2022.6666666666667,43788523,21813445,20314945,21544417,18064114,13592590
57,2022,10,2022.75,43806204,21832389,20316175,21520294,18097394,13649281
58,2022,11,2022.8333333333333,43820378,21850307,20316038,21497444,18129340,13695176
59,2022,12,2022.9166666666667,43834331,21868096,20315777,21474448,18161152,13740964
60,2023,1,2023.0,41981044,21747711,20160261,21312672,18035191,12899448
61,2023,2,2023.0833333333333,41997272,21769350,20159478,21292935,18056122,12943891
62,2023,3,2023.1666666666667,42014489,21791695,20159438,21274269,18078127,12989217
63,2023,4,2023.25,42032938,21814530,20159799,21255896,18100312,13034655
64,2023,5,2023.3333333333333,42044109,21839445,20156723,21240966,18130870,13077528
65,2023,6,2023.4166666666667,42056433,21864942,20154182,21226585,18161874,13120755
66,2023,7,2023.5,42071446,21891765,20152858,21213525,18194016,13164829
67,2023,8,2023.5833333333333,42077489,21915920,20157406,21194663,18225444,13226388
68,2023,9,2023.6666666666667,42085522,21941031,20162830,21176687,18257603,13288496
69,2023,10,2023.75,42091066,21964958,20167183,21157621,18288848,13349906
70,2023,11,2023.8333333333333,42098537,21983364,20166277,21138530,18321755,13403077
71,2023,12,2023.9166666666667,42106235,22001873,20165461,21119532,18354738,13456302
72,2024,1,2024.0,43987434,22156180,20317601,21236556,18542941,14395106
73,2024,2,2024.0833333333333,43993573,22176918,20317861,21218918,18569687,14435041
74,2024,3,2024.1666666666667,43999394,22197706,20318237,21201654,18596926,14475431
75,2024,4,2024.25,44006911,22219228,20319244,21184917,18624560,14516100
76,2024,5,2024.3333333333333,44010281,22242347,20320417,21172288,18652810,14560341
77,2024,6,2024.4166666666667,44015055,22266168,20322234,21160322,18681635,14605030
78,2024,7,2024.5,44022249,22291203,20325159,21149525,18711499,14650528
79,2024,8,2024.5833333333333,44018585,22312764,20331281,21134128,18742809,14712229
80,2024,9,2024.6666666666667,44016906,22335287,20338280,21119601,18774858,14774497
81,2024,10,2024.75,44012737,22356618,20344214,21104003,18805980,14836043
82,2024,11,2024.8333333333333,44009188,22377361,20342721,21091569,18837452,14888157
83,2024,12,2024.9166666666667,44005872,22398212,20341326,21079225,18869006,14940331
