,Year,Month,Time Point,15-34 years,35-44 years,45-54 years,55-64 years,65-74 years,75+ years
0,2018,1,2018.0,45083821,20432886,20672150,20293851,14057201,8873733
1,2018,2,2018.0833333333333,45088526,20451296,20644036,20304630,14081102,8897439
2,2018,3,2018.1666666666667,45095757,20470982,20617496,20317279,14106438,8922092
3,2018,4,2018.25,45105831,20491912,20592123,20330995,14132479,8947180
4,2018,5,2018.3333333333333,45112144,20514560,20564283,20344778,14161809,8974573
5,2018,6,2018.4166666666667,45122441,20538979,20538187,20360260,14192312,9002696
6,2018,7,2018.5,45132897,20563483,20512211,20375905,14222929,9030894
7,2018,8,2018.5833333333333,45139663,20586151,20479038,20388090,14264027,9067324
8,2018,9,2018.6666666666667,45149019,20609962,20446945,20401289,14305798,9104168
9,2018,10,2018.75,45155816,20632637,20413761,20413435,14346849,9140561
10,2018,11,2018.8333333333333,45163613,20651121,20383890,20425064,14387644,9166907
11,2018,12,2018.9166666666667,45168874,20668457,20352892,20435555,14427633,9192736
12,2019,1,2019.0,45172349,20684932,20320995,20445067,14466889,9218077
13,2019,2,2019.0833333333333,45176300,20702699,20291588,20449809,14500269,9236108
14,2019,3,2019.1666666666667,45182695,20721706,20263613,20456265,14534981,9255021
15,2019,4,2019.25,45192097,20742007,20236797,20463775,14570387,9274356
16,2019,5,2019.3333333333333,45195678,20759706,20211666,20471451,14609740,9298082
17,2019,6,2019.4166666666667,45203130,20779142,20188191,20480768,14650245,9322525
18,2019,7,2019.5,45210936,20798763,20164931,20490355,14690960,9347126
19,2019,8,2019.5833333333333,45209556,20821270,20141087,20496184,14739403,9382115
20,2019,9,2019.6666666666667,45210609,20844856,20118258,20503013,14788544,9417558
21,2019,10,2019.75,45209226,20867384,20094461,20508935,14837068,9452611
22,2019,11,2019.8333333333333,45212403,20883575,20073466,20512265,14884885,9479876
23,2019,12,2019.9166666666667,45213003,20898625,20051402,20514553,14931976,9506680
24,2020,1,2020.0,45211710,20912769,20028434,20515840,14978299,9532996
25,2020,2,2020.0833333333333,45208293,20931831,20008367,20511631,15011390,9547956
26,2020,3,2020.1666666666667,45207747,20952362,19989905,20509376,15046055,9563956
27,2020,4,2020.25,45132939,21530504,20583822,21090631,15246002,9119743
28,2020,5,2020.3333333333333,45118623,21549295,20562144,21083327,15282177,9129040
29,2020,6,2020.4166666666667,45111335,21571463,20543759,21079516,15320924,9139885
30,2020,7,2020.5,45107916,21595498,20527212,21077695,15361155,9151615
31,2020,8,2020.5833333333333,45101545,21620935,20505059,21071756,15409944,9173163
32,2020,9,2020.6666666666667,45095645,21646573,20483098,21066000,15458855,9194776
33,2020,10,2020.75,45091195,21672949,20461865,21061058,15508392,9216776
34,2020,11,2020.8333333333333,45092779,21696699,20445210,21053102,15553780,9222161
35,2020,12,2020.9166666666667,45088084,21717435,20425665,21042104,15596910,9226194
36,2021,1,2021.0,45074982,21733996,20402084,21026737,15636667,9228210
37,2021,2,2021.0833333333333,45064190,21749258,20383384,21003543,15672290,9228602
38,2021,3,2021.1666666666667,45064422,21769988,20369997,20986173,15712427,9231698
39,2021,4,2021.25,45071316,21793886,20359541,20971782,15754795,9236102
40,2021,5,2021.3333333333333,45071331,21816864,20343511,20964276,15784663,9266779
41,2021,6,2021.4166666666667,45072515,21840366,20327946,20957188,15814809,9297621
42,2021,7,2021.5,45076980,21865470,20313896,20951718,15846199,9329193
43,2021,8,2021.5833333333333,45092759,21893609,20302353,20931313,15871375,9379894
44,2021,9,2021.6666666666667,45102800,21918924,20288087,20907885,15894162,9429171
45,2021,10,2021.75,45111247,21943437,20273050,20883594,15916247,9478014
46,2021,11,2021.8333333333333,45127605,21959322,20262040,20864152,15921903,9533285
47,2021,12,2021.9166666666667,45143184,21974894,20250772,20844502,15927435,9588487
48,2022,1,2022.0,45156015,21989039,20238090,20823181,15931567,9642812
