,Year,Month,Time Point,AIAN,Asian,Black,Hispanic,Mixed,White
0,2018,1,2018.0,1221040,9700077,21272266,29192643,4500643,103401308
1,2018,2,2018.0833333333333,1221456,9715627,21283234,29236258,4510468,103373368
2,2018,3,2018.1666666666667,1221860,9730685,21294700,29277285,4519495,103358535
3,2018,4,2018.25,1222345,9746551,21307052,29321115,4529471,103348117
4,2018,5,2018.3333333333333,1222800,9762249,21318454,29362853,4538846,103342442
5,2018,6,2018.4166666666667,1223416,9778517,21331521,29407448,4548927,103343972
6,2018,7,2018.5,1224062,9794459,21345002,29452274,4558979,103347432
7,2018,8,2018.5833333333333,1224754,9809749,21359085,29494211,4569015,103351854
8,2018,9,2018.6666666666667,1225470,9825159,21374396,29538175,4579538,103360661
9,2018,10,2018.75,1226126,9840109,21388611,29580021,4589614,103365664
10,2018,11,2018.8333333333333,1226777,9855125,21402107,29621830,4599695,103364477
11,2018,12,2018.9166666666667,1227355,9870028,21414815,29661544,4609350,103357955
12,2019,1,2019.0,1227904,9884699,21427344,29701354,4618847,103344802
13,2019,2,2019.0833333333333,1228315,9898688,21436868,29738901,4628201,103319177
14,2019,3,2019.1666666666667,1228733,9912512,21447169,29774192,4636797,103304738
15,2019,4,2019.25,1229260,9927001,21458975,29813093,4646337,103293907
16,2019,5,2019.3333333333333,1229750,9941203,21470454,29850114,4655360,103284842
17,2019,6,2019.4166666666667,1230339,9956040,21483721,29890032,4665096,103283127
18,2019,7,2019.5,1230918,9970816,21497077,29929546,4674701,103283269
19,2019,8,2019.5833333333333,1231555,9986145,21511017,29972341,4684836,103285488
20,2019,9,2019.6666666666667,1232244,10001882,21526100,30017205,4695468,103292031
21,2019,10,2019.75,1232858,10017099,21539992,30059454,4705433,103295044
22,2019,11,2019.8333333333333,1233445,10032182,21553256,30101793,4715446,103293309
23,2019,12,2019.9166666666667,1233973,10046833,21565302,30141924,4724875,103287120
24,2020,1,2020.0,1234464,10061301,21576574,30181816,4734285,103275418
25,2020,2,2020.0833333333333,1234802,10075167,21584394,30221709,4743818,103242227
26,2020,3,2020.1666666666667,1235167,10088949,21593261,30259235,4752596,103221607
27,2020,4,2020.25,1219419,10150118,21683451,30622192,4795538,102853697
28,2020,5,2020.3333333333333,1219716,10154726,21682058,30648247,4803720,102815336
29,2020,6,2020.4166666666667,1220075,10160127,21684644,30676997,4812584,102794496
30,2020,7,2020.5,1220598,10165523,21689054,30707601,4821626,102783984
31,2020,8,2020.5833333333333,1221035,10176113,21696573,30744297,4831628,102769412
32,2020,9,2020.6666666666667,1221525,10186660,21704296,30781156,4841584,102753779
33,2020,10,2020.75,1221969,10197166,21712895,30818471,4851440,102743346
34,2020,11,2020.8333333333333,1222298,10207494,21721113,30854971,4861052,102723062
35,2020,12,2020.9166666666667,1222497,10216885,21726690,30887523,4869723,102685400
36,2021,1,2021.0,1222623,10225152,21729632,30918250,4878393,102626870
37,2021,2,2021.0833333333333,1222793,10232302,21729470,30944450,4886747,102569648
38,2021,3,2021.1666666666667,1223054,10240680,21733536,30972202,4894911,102542569
39,2021,4,2021.25,1223439,10250286,21739999,31005142,4904681,102529498
40,2021,5,2021.3333333333333,1223801,10260389,21745921,31039521,4914128,102516033
41,2021,6,2021.4166666666667,1224117,10270622,21752383,31074960,4923651,102504177
42,2021,7,2021.5,1224571,10281103,21760913,31112651,4933587,102500107
43,2021,8,2021.5833333333333,1225042,10300839,21772917,31161704,4945030,102499328
44,2021,9,2021.6666666666667,1225369,10320003,21782554,31210280,4956254,102482651
45,2021,10,2021.75,1225672,10339022,21791291,31258651,4967119,102461395
