,Year,Month,Time Point,AIAN,Asian,Black,Hispanic,Mixed,White
0,2018,1,2018.0,1184041,8842125,19485549,29766061,4407327,100618556
1,2018,2,2018.0833333333333,1184254,8857202,19495870,29808047,4417508,100594570
2,2018,3,2018.1666666666667,1184596,8871901,19506615,29847682,4426892,100583722
3,2018,4,2018.25,1184973,8887340,19518281,29890319,4437214,100577741
4,2018,5,2018.3333333333333,1185256,8902592,19528902,29930457,4446993,100572436
5,2018,6,2018.4166666666667,1185722,8918428,19541045,29973671,4457594,100575695
6,2018,7,2018.5,1186200,8933937,19553766,30016559,4467888,100579778
7,2018,8,2018.5833333333333,1186772,8948409,19566506,30056919,4478300,100584505
8,2018,9,2018.6666666666667,1187448,8963264,19580795,30099935,4489212,100593266
9,2018,10,2018.75,1187967,8977769,19594009,30140609,4499549,100597098
10,2018,11,2018.8333333333333,1188491,8992407,19606537,30180717,4509888,100597771
11,2018,12,2018.9166666666667,1188899,9006818,19618643,30218691,4519702,100592213
12,2019,1,2019.0,1189288,9020948,19630609,30256314,4529545,100580595
13,2019,2,2019.0833333333333,1189530,9034449,19639043,30291960,4539147,100555338
14,2019,3,2019.1666666666667,1189819,9047778,19648439,30325609,4548011,100541624
15,2019,4,2019.25,1190193,9061839,19659343,30362888,4557824,100531820
16,2019,5,2019.3333333333333,1190535,9075564,19669968,30398284,4567097,100523598
17,2019,6,2019.4166666666667,1190993,9089961,19682439,30436826,4577151,100523123
18,2019,7,2019.5,1191452,9104314,19695050,30474941,4587069,100524523
19,2019,8,2019.5833333333333,1191943,9119208,19708269,30516455,4597484,100527938
20,2019,9,2019.6666666666667,1192515,9134516,19722639,30560107,4608472,100535972
21,2019,10,2019.75,1193024,9149324,19735792,30601061,4618762,100540307
22,2019,11,2019.8333333333333,1193480,9164010,19748250,30642141,4629085,100539520
23,2019,12,2019.9166666666667,1193869,9178216,19759467,30680815,4638835,100534139
24,2020,1,2020.0,1194214,9192255,19769845,30719132,4648577,100522979
25,2020,2,2020.0833333333333,1194376,9205479,19776819,30757723,4658391,100488735
26,2020,3,2020.1666666666667,1194602,9218594,19785030,30794214,4667454,100467487
27,2020,4,2020.25,1190448,9383597,20028697,31441322,4731477,101432230
28,2020,5,2020.3333333333333,1190625,9388060,20025362,31464433,4740091,101392384
29,2020,6,2020.4166666666667,1190931,9393512,20025513,31490873,4749160,101370639
30,2020,7,2020.5,1191325,9399103,20028212,31518762,4758321,101359194
31,2020,8,2020.5833333333333,1191618,9409299,20033920,31552331,4768318,101341270
32,2020,9,2020.6666666666667,1191975,9419334,20040092,31586422,4778466,101323985
33,2020,10,2020.75,1192338,9429494,20046979,31620913,4788438,101311107
34,2020,11,2020.8333333333333,1192575,9439264,20053649,31654458,4798076,101286205
35,2020,12,2020.9166666666667,1192585,9448266,20058018,31684077,4806959,101245353
36,2021,1,2021.0,1192536,9455740,20059176,31710250,4815771,101180919
37,2021,2,2021.0833333333333,1192455,9461689,20056884,31731146,4823942,101115726
38,2021,3,2021.1666666666667,1192544,9469080,20059191,31755543,4832394,101082900
39,2021,4,2021.25,1192792,9477791,20063950,31785227,4842117,101064741
40,2021,5,2021.3333333333333,1193037,9487377,20068126,31817422,4851667,101046306
41,2021,6,2021.4166666666667,1193300,9497057,20072733,31851368,4861557,101029439
42,2021,7,2021.5,1193650,9507203,20079327,31886771,4871625,101020707
43,2021,8,2021.5833333333333,1193990,9525467,20090031,31933785,4883213,101013203
44,2021,9,2021.6666666666667,1194173,9543529,20097637,31979388,4894443,100988667
45,2021,10,2021.75,1194359,9561033,20104714,32025077,4905481,100958881
46,2021,11,2021.8333333333333,1194550,9578566,20113333,32070866,4916550,100929636
47,2021,12,2021.9166666666667,1194630,9596118,20121568,32115395,4927090,100899845
48,2022,1,2022.0,1194708,9613405,20129298,32160648,4937630,100858857
49,2022,2,2022.0833333333333,1194747,9627842,20132060,32194692,4947446,100804615
50,2022,3,2022.1666666666667,1194883,9643301,20137790,32230102,4957105,100775656
51,2022,4,2022.25,1195168,9660127,20146485,32271154,4967953,100764123
52,2022,5,2022.3333333333333,1195477,9677752,20155224,32313858,4978480,100753778
53,2022,6,2022.4166666666667,1195721,9695328,20163821,32358168,4989217,100741805
54,2022,7,2022.5,1196102,9713304,20173558,32403495,5000034,100734864
55,2022,8,2022.5833333333333,1196436,9732701,20185212,32453865,5011709,100726660
56,2022,9,2022.6666666666667,1196812,9752596,20197841,32506372,5023516,100722716
57,2022,10,2022.75,1197144,9771658,20209352,32557139,5034632,100714863
58,2022,11,2022.8333333333333,1197433,9790615,20220839,32607090,5045679,100699121
59,2022,12,2022.9166666666667,1197664,9809743,20232059,32656791,5056650,100681196
60,2023,1,2023.0,1146282,9660626,19048967,32079003,4987808,97926950
61,2023,2,2023.0833333333333,1146573,9677554,19058181,32121516,4998217,97905345
62,2023,3,2023.1666666666667,1146829,9694668,19067187,32162059,5008100,97892422
63,2023,4,2023.25,1147105,9712349,19075879,32205058,5018774,97880096
64,2023,5,2023.3333333333333,1147440,9730894,19084672,32250407,5029388,97867547
65,2023,6,2023.4166666666667,1147700,9749561,19093872,32297484,5040275,97855884
66,2023,7,2023.5,1148112,9768703,19104631,32346184,5051283,97852035
67,2023,8,2023.5833333333333,1148573,9787950,19117414,32398168,5063127,97849518
68,2023,9,2023.6666666666667,1149045,9807758,19131315,32452289,5075136,97851491
69,2023,10,2023.75,1149467,9826717,19143647,32504594,5086388,97847640
70,2023,11,2023.8333333333333,1149907,9845576,19154811,32555540,5097664,97837757
71,2023,12,2023.9166666666667,1150252,9864654,19166076,32606585,5108888,97827276
72,2024,1,2024.0,1202275,10052158,20372720,33287237,5200033,100540737
73,2024,2,2024.0833333333333,1202650,10069926,20383058,33333736,5210641,100517355
74,2024,3,2024.1666666666667,1202942,10087599,20392401,33377212,5220607,100498793
75,2024,4,2024.25,1203278,10105948,20401841,33423720,5231433,100482172
76,2024,5,2024.3333333333333,1203619,10124385,20411076,33469245,5242122,100469722
77,2024,6,2024.4166666666667,1203938,10142992,20421040,33516803,5253144,100459752
78,2024,7,2024.5,1204377,10162023,20432307,33565564,5264222,100456132
79,2024,8,2024.5833333333333,1204818,10181142,20444696,33617059,5276009,100452458
80,2024,9,2024.6666666666667,1205282,10200810,20458218,33670795,5287973,100453249
81,2024,10,2024.75,1205692,10219653,20470159,33722621,5299169,100448289
82,2024,11,2024.8333333333333,1206106,10238382,20480947,33773219,5310386,100437170
83,2024,12,2024.9166666666667,1206435,10257325,20491821,33823773,5321549,100425556
