"Notes"	"Year"	"Year Code"	"Gender"	"Gender Code"	"State"	"State Code"	Deaths	Population	Crude Rate
	"1999"	"1999"	"Female"	"F"	"Alabama"	"01"	50	2293259	2.1803
	"1999"	"1999"	"Female"	"F"	"Alaska"	"02"	32	301266	10.6218
	"1999"	"1999"	"Female"	"F"	"Arizona"	"04"	115	2518299	4.5666
	"1999"	"1999"	"Female"	"F"	"Arkansas"	"05"	28	1359445	2.0597
	"1999"	"1999"	"Female"	"F"	"California"	"06"	802	16800161	4.7738
	"1999"	"1999"	"Female"	"F"	"Colorado"	"08"	137	2101358	6.5196
	"1999"	"1999"	"Female"	"F"	"Connecticut"	"09"	36	1747148	2.0605
	"1999"	"1999"	"Female"	"F"	"Delaware"	"10"	14	398732	Unreliable
	"1999"	"1999"	"Female"	"F"	"District of Columbia"	"11"	24	301797	7.9524
	"1999"	"1999"	"Female"	"F"	"Florida"	"12"	308	8073847	3.8148
	"1999"	"1999"	"Female"	"F"	"Georgia"	"13"	122	4096031	2.9785
	"1999"	"1999"	"Female"	"F"	"Hawaii"	"15"	Suppressed	601830	Suppressed
	"1999"	"1999"	"Female"	"F"	"Idaho"	"16"	21	636798	3.2977
	"1999"	"1999"	"Female"	"F"	"Illinois"	"17"	148	6313350	2.3442
	"1999"	"1999"	"Female"	"F"	"Indiana"	"18"	69	3083351	2.2378
	"1999"	"1999"	"Female"	"F"	"Iowa"	"19"	28	1488223	1.8814
	"1999"	"1999"	"Female"	"F"	"Kansas"	"20"	32	1356044	2.3598
	"1999"	"1999"	"Female"	"F"	"Kentucky"	"21"	41	2056401	1.9938
	"1999"	"1999"	"Female"	"F"	"Louisiana"	"22"	68	2302744	2.9530
	"1999"	"1999"	"Female"	"F"	"Maine"	"23"	24	650598	3.6889
	"1999"	"1999"	"Female"	"F"	"Maryland"	"24"	79	2716928	2.9077
	"1999"	"1999"	"Female"	"F"	"Massachusetts"	"25"	86	3274830	2.6261
	"1999"	"1999"	"Female"	"F"	"Michigan"	"26"	149	5047770	2.9518
	"1999"	"1999"	"Female"	"F"	"Minnesota"	"27"	73	2462931	2.9639
