"Notes"	"Year"	"Year Code"	"Gender"	"Gender Code"	"Residence State"	"Residence State Code"	Deaths	Population	Crude Rate
	"2018"	"2018"	"Female"	"F"	"Alabama"	"01"	70	2523756	2.7736
	"2018"	"2018"	"Female"	"F"	"Alaska"	"02"	52	352865	14.7365
	"2018"	"2018"	"Female"	"F"	"Arizona"	"04"	247	3606307	6.8491
	"2018"	"2018"	"Female"	"F"	"Arkansas"	"05"	70	1533682	4.5642
	"2018"	"2018"	"Female"	"F"	"California"	"06"	1135	19893468	5.7054
	"2018"	"2018"	"Female"	"F"	"Colorado"	"08"	210	2827696	7.4265
	"2018"	"2018"	"Female"	"F"	"Connecticut"	"09"	46	1829270	2.5147
	"2018"	"2018"	"Female"	"F"	"Delaware"	"10"	14	499244	Unreliable
	"2018"	"2018"	"Female"	"F"	"District of Columbia"	"11"	13	369148	Unreliable
	"2018"	"2018"	"Female"	"F"	"Florida"	"12"	617	10887548	5.6670
	"2018"	"2018"	"Female"	"F"	"Georgia"	"13"	159	5404059	2.9422
	"2018"	"2018"	"Female"	"F"	"Hawaii"	"15"	11	709489	Unreliable
	"2018"	"2018"	"Female"	"F"	"Idaho"	"16"	67	875131	7.6560
	"2018"	"2018"	"Female"	"F"	"Illinois"	"17"	171	6480179	2.6388
	"2018"	"2018"	"Female"	"F"	"Indiana"	"18"	142	3391576	4.1868
	"2018"	"2018"	"Female"	"F"	"Iowa"	"19"	64	1585338	4.0370
	"2018"	"2018"	"Female"	"F"	"Kansas"	"20"	56	1461099	3.8327
	"2018"	"2018"	"Female"	"F"	"Kentucky"	"21"	73	2266891	3.2203
	"2018"	"2018"	"Female"	"F"	"Louisiana"	"22"	70	2385219	2.9347
	"2018"	"2018"	"Female"	"F"	"Maine"	"23"	32	683031	4.6850
	"2018"	"2018"	"Female"	"F"	"Maryland"	"24"	70	3113797	2.2481
	"2018"	"2018"	"Female"	"F"	"Massachusetts"	"25"	112	3551621	3.1535
	"2018"	"2018"	"Female"	"F"	"Michigan"	"26"	214	5073772	4.2178
	"2018"	"2018"	"Female"	"F"	"Minnesota"	"27"	179	2816378	6.3557
	"2018"	"2018"	"Female"	"F"	"Mississippi"	"28"	32	1538795	2.0795
	"2018"	"2018"	"Female"	"F"	"Missouri"	"29"	103	3118889	3.3025
	"2018"	"2018"	"Female"	"F"	"Montana"	"30"	40	527453	7.5836
	"2018"	"2018"	"Female"	"F"	"Nebraska"	"31"	57	965886	5.9013
	"2018"	"2018"	"Female"	"F"	"Nevada"	"32"	118	1512837	7.7999
	"2018"	"2018"	"Female"	"F"	"New Hampshire"	"33"	41	684192	5.9925
	"2018"	"2018"	"Female"	"F"	"New Jersey"	"34"	111	4556326	2.4362
	"2018"	"2018"	"Female"	"F"	"New Mexico"	"35"	130	1058143	12.2857
	"2018"	"2018"	"Female"	"F"	"New York"	"36"	245	10053779	2.4369
	"2018"	"2018"	"Female"	"F"	"North Carolina"	"37"	196	5332759	3.6754
	"2018"	"2018"	"Female"	"F"	"North Dakota"	"38"	22	370727	5.9343
	"2018"	"2018"	"Female"	"F"	"Ohio"	"39"	233	5958724	3.9102
	"2018"	"2018"	"Female"	"F"	"Oklahoma"	"40"	126	1990033	6.3316
	"2018"	"2018"	"Female"	"F"	"Oregon"	"41"	207	2113219	9.7955
	"2018"	"2018"	"Female"	"F"	"Pennsylvania"	"42"	154	6532400	2.3575
	"2018"	"2018"	"Female"	"F"	"Rhode Island"	"44"	26	542983	4.7884
	"2018"	"2018"	"Female"	"F"	"South Carolina"	"45"	125	2620801	4.7695
	"2018"	"2018"	"Female"	"F"	"South Dakota"	"46"	61	436704	13.9683
	"2018"	"2018"	"Female"	"F"	"Tennessee"	"47"	152	3467086	4.3841
	"2018"	"2018"	"Female"	"F"	"Texas"	"48"	393	14441739	2.7213
	"2018"	"2018"	"Female"	"F"	"Utah"	"49"	58	1568962	3.6967
	"2018"	"2018"	"Female"	"F"	"Vermont"	"50"	17	317047	Unreliable
	"2018"	"2018"	"Female"	"F"	"Virginia"	"51"	107	4327037	2.4728
	"2018"	"2018"	"Female"	"F"	"Washington"	"53"	305	3765680	8.0995
	"2018"	"2018"	"Female"	"F"	"West Virginia"	"54"	35	911492	3.8399
	"2018"	"2018"	"Female"	"F"	"Wisconsin"	"55"	124	2921295	4.2447
	"2018"	"2018"	"Female"	"F"	"Wyoming"	"56"	34	283203	12.0055
	"2018"	"2018"	"Male"	"M"	"Alabama"	"01"	194	2364115	8.2060
	"2018"	"2018"	"Male"	"M"	"Alaska"	"02"	49	384573	12.7414
	"2018"	"2018"	"Male"	"M"	"Arizona"	"04"	488	3565339	13.6873
	"2018"	"2018"	"Male"	"M"	"Arkansas"	"05"	158	1480143	10.6746
	"2018"	"2018"	"Male"	"M"	"California"	"06"	2760	19663577	14.0361
	"2018"	"2018"	"Male"	"M"	"Colorado"	"08"	409	2867868	14.2615
	"2018"	"2018"	"Male"	"M"	"Connecticut"	"09"	114	1743395	6.5390
	"2018"	"2018"	"Male"	"M"	"Delaware"	"10"	26	467927	5.5564
	"2018"	"2018"	"Male"	"M"	"District of Columbia"	"11"	27	333307	8.1006
	"2018"	"2018"	"Male"	"M"	"Florida"	"12"	1240	10411777	11.9096
	"2018"	"2018"	"Male"	"M"	"Georgia"	"13"	333	5115416	6.5097
	"2018"	"2018"	"Male"	"M"	"Hawaii"	"15"	47	711002	6.6104
	"2018"	"2018"	"Male"	"M"	"Idaho"	"16"	120	879077	13.6507
	"2018"	"2018"	"Male"	"M"	"Illinois"	"17"	454	6260901	7.2514
	"2018"	"2018"	"Male"	"M"	"Indiana"	"18"	350	3300302	10.6051
	"2018"	"2018"	"Male"	"M"	"Iowa"	"19"	164	1570807	10.4405
	"2018"	"2018"	"Male"	"M"	"Kansas"	"20"	180	1450406	12.4103
	"2018"	"2018"	"Male"	"M"	"Kentucky"	"21"	215	2201511	9.7660
	"2018"	"2018"	"Male"	"M"	"Louisiana"	"22"	162	2274759	7.1216
	"2018"	"2018"	"Male"	"M"	"Maine"	"23"	81	655373	12.3594
	"2018"	"2018"	"Male"	"M"	"Maryland"	"24"	157	2928921	5.3603
	"2018"	"2018"	"Male"	"M"	"Massachusetts"	"25"	238	3350528	7.1034
	"2018"	"2018"	"Male"	"M"	"Michigan"	"26"	434	4922143	8.8173
	"2018"	"2018"	"Male"	"M"	"Minnesota"	"27"	308	2794801	11.0205
	"2018"	"2018"	"Male"	"M"	"Mississippi"	"28"	86	1447735	5.9403
	"2018"	"2018"	"Male"	"M"	"Missouri"	"29"	196	3007563	6.5169
	"2018"	"2018"	"Male"	"M"	"Montana"	"30"	64	534852	11.9659
	"2018"	"2018"	"Male"	"M"	"Nebraska"	"31"	129	963382	13.3903
	"2018"	"2018"	"Male"	"M"	"Nevada"	"32"	221	1521555	14.5246
	"2018"	"2018"	"Male"	"M"	"New Hampshire"	"33"	95	672266	14.1313
	"2018"	"2018"	"Male"	"M"	"New Jersey"	"34"	263	4352194	6.0429
	"2018"	"2018"	"Male"	"M"	"New Mexico"	"35"	239	1037285	23.0409
	"2018"	"2018"	"Male"	"M"	"New York"	"36"	688	9488430	7.2509
	"2018"	"2018"	"Male"	"M"	"North Carolina"	"37"	434	5050861	8.5926
	"2018"	"2018"	"Male"	"M"	"North Dakota"	"38"	58	389350	14.8966
	"2018"	"2018"	"Male"	"M"	"Ohio"	"39"	504	5730718	8.7947
	"2018"	"2018"	"Male"	"M"	"Oklahoma"	"40"	292	1953046	14.9510
	"2018"	"2018"	"Male"	"M"	"Oregon"	"41"	382	2077494	18.3875
	"2018"	"2018"	"Male"	"M"	"Pennsylvania"	"42"	412	6274660	6.5661
	"2018"	"2018"	"Male"	"M"	"Rhode Island"	"44"	80	514332	15.5542
	"2018"	"2018"	"Male"	"M"	"South Carolina"	"45"	272	2463326	11.0420
	"2018"	"2018"	"Male"	"M"	"South Dakota"	"46"	94	445531	21.0984
	"2018"	"2018"	"Male"	"M"	"Tennessee"	"47"	437	3302924	13.2307
	"2018"	"2018"	"Male"	"M"	"Texas"	"48"	1236	14260106	8.6675
	"2018"	"2018"	"Male"	"M"	"Utah"	"49"	102	1592143	6.4065
	"2018"	"2018"	"Male"	"M"	"Vermont"	"50"	34	309252	10.9943
	"2018"	"2018"	"Male"	"M"	"Virginia"	"51"	297	4190648	7.0872
	"2018"	"2018"	"Male"	"M"	"Washington"	"53"	516	3769911	13.6873
	"2018"	"2018"	"Male"	"M"	"West Virginia"	"54"	105	894340	11.7405
	"2018"	"2018"	"Male"	"M"	"Wisconsin"	"55"	329	2892273	11.3751
	"2018"	"2018"	"Male"	"M"	"Wyoming"	"56"	60	294534	20.3712
	"2019"	"2019"	"Female"	"F"	"Alabama"	"01"	84	2533668	3.3154
	"2019"	"2019"	"Female"	"F"	"Alaska"	"02"	49	350127	13.9949
	"2019"	"2019"	"Female"	"F"	"Arizona"	"04"	280	3661420	7.6473
	"2019"	"2019"	"Female"	"F"	"Arkansas"	"05"	77	1536188	5.0124
	"2019"	"2019"	"Female"	"F"	"California"	"06"	1194	19867369	6.0099
	"2019"	"2019"	"Female"	"F"	"Colorado"	"08"	225	2857388	7.8743
	"2019"	"2019"	"Female"	"F"	"Connecticut"	"09"	66	1825870	3.6147
	"2019"	"2019"	"Female"	"F"	"Delaware"	"10"	16	502971	Unreliable
	"2019"	"2019"	"Female"	"F"	"District of Columbia"	"11"	11	371038	Unreliable
	"2019"	"2019"	"Female"	"F"	"Florida"	"12"	559	10980681	5.0908
	"2019"	"2019"	"Female"	"F"	"Georgia"	"13"	161	5456999	2.9503
	"2019"	"2019"	"Female"	"F"	"Hawaii"	"15"	18	707832	Unreliable
	"2019"	"2019"	"Female"	"F"	"Idaho"	"16"	59	891137	6.6208
	"2019"	"2019"	"Female"	"F"	"Illinois"	"17"	204	6445263	3.1651
	"2019"	"2019"	"Female"	"F"	"Indiana"	"18"	130	3411859	3.8102
	"2019"	"2019"	"Female"	"F"	"Iowa"	"19"	76	1583995	4.7980
	"2019"	"2019"	"Female"	"F"	"Kansas"	"20"	65	1461617	4.4471
