"Notes"	"Year"	"Year Code"	"Gender"	"Gender Code"	"Residence State"	"Residence State Code"	Deaths	Population	Crude Rate
	"2018"	"2018"	"Female"	"F"	"Alabama"	"01"	32	2523756	1.2680
	"2018"	"2018"	"Female"	"F"	"Alaska"	"02"	39	352865	11.0524
	"2018"	"2018"	"Female"	"F"	"Arizona"	"04"	115	3606307	3.1889
	"2018"	"2018"	"Female"	"F"	"Arkansas"	"05"	33	1533682	2.1517
	"2018"	"2018"	"Female"	"F"	"California"	"06"	360	19893468	1.8096
	"2018"	"2018"	"Female"	"F"	"Colorado"	"08"	124	2827696	4.3852
	"2018"	"2018"	"Female"	"F"	"Connecticut"	"09"	42	1829270	2.2960
	"2018"	"2018"	"Female"	"F"	"Delaware"	"10"	17	499244	Unreliable
	"2018"	"2018"	"Female"	"F"	"District of Columbia"	"11"	Suppressed	369148	Suppressed
	"2018"	"2018"	"Female"	"F"	"Florida"	"12"	276	10887548	2.5350
	"2018"	"2018"	"Female"	"F"	"Georgia"	"13"	88	5404059	1.6284
	"2018"	"2018"	"Female"	"F"	"Hawaii"	"15"	Suppressed	709489	Suppressed
	"2018"	"2018"	"Female"	"F"	"Idaho"	"16"	32	875131	3.6566
	"2018"	"2018"	"Female"	"F"	"Illinois"	"17"	118	6480179	1.8209
	"2018"	"2018"	"Female"	"F"	"Indiana"	"18"	66	3391576	1.9460
	"2018"	"2018"	"Female"	"F"	"Iowa"	"19"	47	1585338	2.9647
	"2018"	"2018"	"Female"	"F"	"Kansas"	"20"	28	1461099	1.9164
	"2018"	"2018"	"Female"	"F"	"Kentucky"	"21"	39	2266891	1.7204
	"2018"	"2018"	"Female"	"F"	"Louisiana"	"22"	20	2385219	0.8385
	"2018"	"2018"	"Female"	"F"	"Maine"	"23"	27	683031	3.9530
	"2018"	"2018"	"Female"	"F"	"Maryland"	"24"	44	3113797	1.4131
	"2018"	"2018"	"Female"	"F"	"Massachusetts"	"25"	101	3551621	2.8438
	"2018"	"2018"	"Female"	"F"	"Michigan"	"26"	111	5073772	2.1877
	"2018"	"2018"	"Female"	"F"	"Minnesota"	"27"	88	2816378	3.1246
	"2018"	"2018"	"Female"	"F"	"Mississippi"	"28"	10	1538795	Unreliable
	"2018"	"2018"	"Female"	"F"	"Missouri"	"29"	66	3118889	2.1161
	"2018"	"2018"	"Female"	"F"	"Montana"	"30"	20	527453	3.7918
	"2018"	"2018"	"Female"	"F"	"Nebraska"	"31"	23	965886	2.3812
	"2018"	"2018"	"Female"	"F"	"Nevada"	"32"	54	1512837	3.5695
	"2018"	"2018"	"Female"	"F"	"New Hampshire"	"33"	22	684192	3.2155
	"2018"	"2018"	"Female"	"F"	"New Jersey"	"34"	68	4556326	1.4924
	"2018"	"2018"	"Female"	"F"	"New Mexico"	"35"	83	1058143	7.8439
	"2018"	"2018"	"Female"	"F"	"New York"	"36"	172	10053779	1.7108
	"2018"	"2018"	"Female"	"F"	"North Carolina"	"37"	101	5332759	1.8940
	"2018"	"2018"	"Female"	"F"	"North Dakota"	"38"	15	370727	Unreliable
	"2018"	"2018"	"Female"	"F"	"Ohio"	"39"	117	5958724	1.9635
	"2018"	"2018"	"Female"	"F"	"Oklahoma"	"40"	45	1990033	2.2613
	"2018"	"2018"	"Female"	"F"	"Oregon"	"41"	110	2113219	5.2053
	"2018"	"2018"	"Female"	"F"	"Pennsylvania"	"42"	75	6532400	1.1481
	"2018"	"2018"	"Female"	"F"	"Rhode Island"	"44"	Suppressed	542983	Suppressed
	"2018"	"2018"	"Female"	"F"	"South Carolina"	"45"	45	2620801	1.7170
	"2018"	"2018"	"Female"	"F"	"South Dakota"	"46"	20	436704	4.5798
	"2018"	"2018"	"Female"	"F"	"Tennessee"	"47"	90	3467086	2.5958
	"2018"	"2018"	"Female"	"F"	"Texas"	"48"	157	14441739	1.0871
	"2018"	"2018"	"Female"	"F"	"Utah"	"49"	48	1568962	3.0593
	"2018"	"2018"	"Female"	"F"	"Vermont"	"50"	20	317047	6.3082
	"2018"	"2018"	"Female"	"F"	"Virginia"	"51"	62	4327037	1.4329
	"2018"	"2018"	"Female"	"F"	"Washington"	"53"	118	3765680	3.1336
	"2018"	"2018"	"Female"	"F"	"West Virginia"	"54"	17	911492	Unreliable
	"2018"	"2018"	"Female"	"F"	"Wisconsin"	"55"	89	2921295	3.0466
	"2018"	"2018"	"Female"	"F"	"Wyoming"	"56"	21	283203	7.4152
	"2018"	"2018"	"Male"	"M"	"Alabama"	"01"	102	2364115	4.3145
	"2018"	"2018"	"Male"	"M"	"Alaska"	"02"	55	384573	14.3016
	"2018"	"2018"	"Male"	"M"	"Arizona"	"04"	323	3565339	9.0594
	"2018"	"2018"	"Male"	"M"	"Arkansas"	"05"	81	1480143	5.4724
	"2018"	"2018"	"Male"	"M"	"California"	"06"	1047	19663577	5.3246
	"2018"	"2018"	"Male"	"M"	"Colorado"	"08"	324	2867868	11.2976
	"2018"	"2018"	"Male"	"M"	"Connecticut"	"09"	110	1743395	6.3095
	"2018"	"2018"	"Male"	"M"	"Delaware"	"10"	27	467927	5.7701
	"2018"	"2018"	"Male"	"M"	"District of Columbia"	"11"	24	333307	7.2006
	"2018"	"2018"	"Male"	"M"	"Florida"	"12"	748	10411777	7.1842
	"2018"	"2018"	"Male"	"M"	"Georgia"	"13"	308	5115416	6.0210
