"Notes"	"Year"	"Year Code"	"Residence State"	"Residence State Code"	"Gender"	"Gender Code"	Deaths	Population	Crude Rate
	"2018"	"2018"	"Alabama"	"01"	"Female"	"F"	Suppressed	2523756	Suppressed
	"2018"	"2018"	"Alabama"	"01"	"Male"	"M"	20	2364115	0.8460
	"2018"	"2018"	"Alaska"	"02"	"Female"	"F"	15	352865	Unreliable
	"2018"	"2018"	"Alaska"	"02"	"Male"	"M"	25	384573	6.5007
	"2018"	"2018"	"Arizona"	"04"	"Female"	"F"	25	3606307	0.6932
	"2018"	"2018"	"Arizona"	"04"	"Male"	"M"	92	3565339	2.5804
	"2018"	"2018"	"Arkansas"	"05"	"Female"	"F"	Suppressed	1533682	Suppressed
	"2018"	"2018"	"Arkansas"	"05"	"Male"	"M"	20	1480143	1.3512
	"2018"	"2018"	"California"	"06"	"Female"	"F"	81	19893468	0.4072
	"2018"	"2018"	"California"	"06"	"Male"	"M"	236	19663577	1.2002
	"2018"	"2018"	"Colorado"	"08"	"Female"	"F"	19	2827696	Unreliable
	"2018"	"2018"	"Colorado"	"08"	"Male"	"M"	49	2867868	1.7086
	"2018"	"2018"	"Connecticut"	"09"	"Female"	"F"	13	1829270	Unreliable
	"2018"	"2018"	"Connecticut"	"09"	"Male"	"M"	35	1743395	2.0076
	"2018"	"2018"	"Delaware"	"10"	"Female"	"F"	Suppressed	499244	Suppressed
	"2018"	"2018"	"Delaware"	"10"	"Male"	"M"	Suppressed	467927	Suppressed
	"2018"	"2018"	"District of Columbia"	"11"	"Female"	"F"	Suppressed	369148	Suppressed
	"2018"	"2018"	"District of Columbia"	"11"	"Male"	"M"	10	333307	Unreliable
	"2018"	"2018"	"Florida"	"12"	"Female"	"F"	30	10887548	0.2755
	"2018"	"2018"	"Florida"	"12"	"Male"	"M"	83	10411777	0.7972
	"2018"	"2018"	"Georgia"	"13"	"Female"	"F"	Suppressed	5404059	Suppressed
	"2018"	"2018"	"Georgia"	"13"	"Male"	"M"	44	5115416	0.8601
